halo  21: best g: 1.05, nb: 47
halo  23: best g: 1.14, nb: 26
halo  13: best g: 2.45, nb: 39
halo  24: best g: 2.17, nb: 21
halo  36: best g: 1.92, nb: 34
halo  65: best g: 0.36, nb: 28
halo  32: best g: 2.96, nb: 45
halo  40: best g: 0.17, nb: 48
halo  27: best g: 1.18, nb: 49
halo   8: best g: 0.32, nb: 49
halo  67: best g: 0.25, nb: 49
halo  91: best g: 3.05, nb: 47
halo  33: best g: 0.75, nb: 46
halo  38: best g: 1.16, nb: 39
halo  42: best g: 0.58, nb: 48
halo   6: best g: 2.97, nb: 27
halo  99: best g: 0.98, nb: 48
halo  74: best g: 0.20, nb: 48
halo  50: best g: 0.77, nb: 49
halo   9: best g: 1.50, nb: 49
halo  29: best g: 2.48, nb: 49
halo  70: best g: 1.30, nb: 49
halo  30: best g: 3.72, nb: 49
