halo  19: best g: 0.18, nb: 2
halo  15: best g: 0.10, nb: 2
halo  12: best g: 0.68, nb: 2
halo  44: best g: 0.35, nb: 3
halo   0: best g: 0.25, nb: 2
halo  45: best g: 0.65, nb: 2
halo   2: best g: 0.56, nb: 4
halo  11: best g: 0.26, nb: 4
halo  34: best g: 0.63, nb: 6
halo   5: best g: 0.17, nb: 6
halo  23: best g: 3.91, nb: 26
halo  17: best g: 0.56, nb: 3
halo  35: best g: 1.04, nb: 6
halo  49: best g: 0.13, nb: 4
halo  46: best g: 1.38, nb: 19
halo   1: best g: 1.74, nb: 2
halo  21: best g: 1.58, nb: 47
halo  47: best g: 0.59, nb: 2
halo  24: best g: 1.50, nb: 21
halo  28: best g: 1.65, nb: 19
halo  36: best g: 0.10, nb: 34
halo  37: best g: 0.58, nb: 3
halo  13: best g: 0.33, nb: 39
halo  26: best g: 1.36, nb: 5
halo  32: best g: 1.93, nb: 45
halo  42: best g: 0.17, nb: 48
halo  38: best g: 0.91, nb: 39
halo  40: best g: 1.63, nb: 48
halo  27: best g: 1.22, nb: 49
halo  43: best g: 0.33, nb: 10
halo  41: best g: 0.61, nb: 6
halo   8: best g: 2.05, nb: 49
halo  39: best g: 1.32, nb: 14
halo  33: best g: 2.68, nb: 46
halo   6: best g: 0.84, nb: 27
halo   7: best g: 0.74, nb: 2
halo  30: best g: 0.88, nb: 49
halo  31: best g: 0.10, nb: 14
halo   9: best g: 0.27, nb: 49
halo  29: best g: 1.81, nb: 49
